[Fri 00:14:53] watchdog up: root 21014 (o3_r8_p0_d8), kill if free disk < 5 GB, every 60s
[00:14:54] tree 0.00 GB (peak 0.00)  free disk 38 GB  swap used 1024.00M | 21014:1264K/0B
[00:15:54] tree 1.97 GB (peak 1.97)  free disk 38 GB  swap used 1024.00M | 21014:1280K/0B 21082:880K/0B 21084:2016M/0B
[00:16:55] tree 2.01 GB (peak 2.01)  free disk 38 GB  swap used 1024.00M | 21014:1280K/0B 21082:880K/0B 21084:2053M/0B
[00:17:55] tree 2.07 GB (peak 2.07)  free disk 38 GB  swap used 1024.00M | 21014:1280K/0B 21082:880K/0B 21084:2122M/0B
[00:18:56] tree 2.07 GB (peak 2.07)  free disk 38 GB  swap used 1024.00M | 21014:1280K/0B 21082:880K/0B 21084:2121M/0B
[00:19:56] tree 2.07 GB (peak 2.07)  free disk 38 GB  swap used 1024.00M | 21014:1280K/0B 21082:880K/0B 21084:2121M/0B
[00:20:57] tree 2.07 GB (peak 2.07)  free disk 38 GB  swap used 1024.00M | 21014:1280K/0B 21082:880K/0B 21084:2121M/0B
[00:21:58] tree 2.07 GB (peak 2.07)  free disk 38 GB  swap used 1024.00M | 21014:1280K/0B 21082:880K/0B 21084:2121M/0B
[00:22:58] tree 2.07 GB (peak 2.07)  free disk 38 GB  swap used 1024.00M | 21014:1280K/0B 21082:880K/0B 21084:2121M/0B
[00:23:59] tree 2.07 GB (peak 2.07)  free disk 38 GB  swap used 1024.00M | 21014:1280K/0B 21082:880K/0B 21084:2121M/0B
[00:24:59] tree 2.07 GB (peak 2.07)  free disk 38 GB  swap used 1024.00M | 21014:1280K/0B 21082:880K/0B 21084:2121M/0B
[00:26:00] tree 13.00 GB (peak 13.00)  free disk 38 GB  swap used 1024.00M | 21014:1280K/992K 21082:880K/656K 21084:13G/7805M
[00:27:01] tree 14.00 GB (peak 14.00)  free disk 38 GB  swap used 1024.00M | 21014:1280K/1024K 21082:880K/688K 21084:14G/11G
[00:28:01] tree 9.66 GB (peak 14.00)  free disk 38 GB  swap used 1024.00M | 21014:1280K/1024K 21082:880K/688K 21084:9887M/7660M
[00:29:02] tree 10.00 GB (peak 14.00)  free disk 38 GB  swap used 1024.00M | 21014:1280K/1024K 21082:880K/688K 21084:10G/7659M
[00:30:02] tree 10.00 GB (peak 14.00)  free disk 38 GB  swap used 1024.00M | 21014:1280K/1024K 21082:880K/688K 21084:10G/7658M
[00:31:03] tree 10.00 GB (peak 14.00)  free disk 38 GB  swap used 1024.00M | 21014:1280K/1024K 21082:880K/688K 21084:10G/7658M
[00:32:03] tree 10.00 GB (peak 14.00)  free disk 38 GB  swap used 1024.00M | 21014:1280K/1024K 21082:880K/688K 21084:10G/7658M
[00:33:04] tree 10.00 GB (peak 14.00)  free disk 38 GB  swap used 1024.00M | 21014:1280K/1024K 21082:880K/688K 21084:10G/7658M
[00:34:05] tree 10.00 GB (peak 14.00)  free disk 38 GB  swap used 1024.00M | 21014:1280K/1024K 21082:880K/688K 21084:10G/7658M
[00:35:05] tree 10.00 GB (peak 14.00)  free disk 38 GB  swap used 1024.00M | 21014:1280K/1024K 21082:880K/688K 21084:10G/7658M
[00:36:06] tree 10.00 GB (peak 14.00)  free disk 38 GB  swap used 1024.00M | 21014:1280K/1024K 21082:880K/688K 21084:10G/7658M
[00:37:06] tree 10.00 GB (peak 14.00)  free disk 38 GB  swap used 1024.00M | 21014:1280K/1024K 21082:880K/688K 21084:10G/7658M
[00:38:07] tree 10.00 GB (peak 14.00)  free disk 38 GB  swap used 1024.00M | 21014:1280K/1024K 21082:880K/688K 21084:10G/7658M
[00:39:07] tree 10.00 GB (peak 14.00)  free disk 38 GB  swap used 1024.00M | 21014:1280K/1024K 21082:880K/688K 21084:10G/7658M
[00:40:08] tree 10.00 GB (peak 14.00)  free disk 38 GB  swap used 1024.00M | 21014:1280K/1024K 21082:880K/688K 21084:10G/7658M
[00:41:08] tree 10.00 GB (peak 14.00)  free disk 38 GB  swap used 1024.00M | 21014:1280K/1024K 21082:880K/688K 21084:10G/7658M
[00:42:09] tree 10.00 GB (peak 14.00)  free disk 38 GB  swap used 1024.00M | 21014:1280K/1024K 21082:880K/688K 21084:10G/7658M
[00:43:10] tree 10.00 GB (peak 14.00)  free disk 38 GB  swap used 1024.00M | 21014:1280K/1024K 21082:880K/688K 21084:10G/7658M
[00:44:10] tree 10.00 GB (peak 14.00)  free disk 38 GB  swap used 1024.00M | 21014:1280K/1024K 21082:880K/688K 21084:10G/7658M
[00:45:10] tree 10.00 GB (peak 14.00)  free disk 38 GB  swap used 1024.00M | 21014:1280K/1024K 21082:880K/688K 21084:10G/7658M
[00:46:11] tree 10.00 GB (peak 14.00)  free disk 38 GB  swap used 1024.00M | 21014:1280K/1024K 21082:880K/688K 21084:10G/7658M
[00:47:11] tree 10.00 GB (peak 14.00)  free disk 38 GB  swap used 1024.00M | 21014:1280K/1024K 21082:880K/688K 21084:10G/7658M
[00:48:11] tree 10.00 GB (peak 14.00)  free disk 38 GB  swap used 1024.00M | 21014:1280K/1024K 21082:880K/688K 21084:10G/7658M
[00:49:11] tree 10.00 GB (peak 14.00)  free disk 38 GB  swap used 1024.00M | 21014:1280K/1024K 21082:880K/688K 21084:10G/7658M
[00:50:12] tree 10.00 GB (peak 14.00)  free disk 38 GB  swap used 1024.00M | 21014:1280K/1024K 21082:880K/688K 21084:10G/7658M
[00:51:12] tree 10.00 GB (peak 14.00)  free disk 38 GB  swap used 1024.00M | 21014:1280K/1024K 21082:880K/688K 21084:10G/7658M
[00:52:12] tree 10.00 GB (peak 14.00)  free disk 38 GB  swap used 1024.00M | 21014:1280K/1024K 21082:880K/688K 21084:10G/7658M
[00:53:13] tree 10.00 GB (peak 14.00)  free disk 38 GB  swap used 1024.00M | 21014:1280K/1024K 21082:880K/688K 21084:10G/7658M
[00:54:13] tree 10.00 GB (peak 14.00)  free disk 38 GB  swap used 1024.00M | 21014:1280K/1024K 21082:880K/688K 21084:10G/7658M
[00:55:13] tree 10.00 GB (peak 14.00)  free disk 38 GB  swap used 1024.00M | 21014:1280K/1024K 21082:880K/688K 21084:10G/7658M
[00:56:13] tree 10.00 GB (peak 14.00)  free disk 38 GB  swap used 1024.00M | 21014:1280K/1024K 21082:880K/688K 21084:10G/7658M
[00:57:14] tree 10.00 GB (peak 14.00)  free disk 38 GB  swap used 1024.00M | 21014:1280K/1024K 21082:880K/688K 21084:10G/7658M
[00:58:14] tree 10.77 GB (peak 14.00)  free disk 31 GB  swap used 1024.00M | 21014:1280K/1024K 21082:880K/688K 21084:3216M/3214M 23580:7810M/948M
[00:59:15] tree 11.87 GB (peak 14.00)  free disk 31 GB  swap used 1024.00M | 21014:1280K/1024K 21082:880K/688K 21084:3216M/3214M 23580:8932M/933M
[01:00:15] tree 13.14 GB (peak 14.00)  free disk 31 GB  swap used 1024.00M | 21014:1280K/1024K 21082:880K/688K 21084:3216M/3214M 23580:10G/1413M
[01:01:15] tree 14.14 GB (peak 14.14)  free disk 31 GB  swap used 1024.00M | 21014:1280K/1024K 21082:880K/688K 21084:3216M/3214M 23580:11G/3771M
[01:02:16] tree 15.14 GB (peak 15.14)  free disk 31 GB  swap used 1024.00M | 21014:1280K/1024K 21082:880K/688K 21084:3216M/3214M 23580:12G/6065M
[01:03:16] tree 15.14 GB (peak 15.14)  free disk 31 GB  swap used 1024.00M | 21014:1280K/1024K 21082:880K/688K 21084:3216M/3214M 23580:12G/6704M
[01:04:17] tree 15.14 GB (peak 15.14)  free disk 31 GB  swap used 1024.00M | 21014:1280K/1024K 21082:880K/688K 21084:3216M/3214M 23580:12G/8757M
[01:05:17] tree 16.14 GB (peak 16.14)  free disk 31 GB  swap used 1024.00M | 21014:1280K/1024K 21082:880K/688K 21084:3216M/3214M 23580:13G/8991M
[01:06:17] tree 16.14 GB (peak 16.14)  free disk 31 GB  swap used 1024.00M | 21014:1280K/1024K 21082:880K/688K 21084:3216M/3214M 23580:13G/9034M
[01:07:18] tree 16.14 GB (peak 16.14)  free disk 31 GB  swap used 1024.00M | 21014:1280K/1024K 21082:880K/688K 21084:3216M/3214M 23580:13G/8080M
[01:08:18] tree 16.14 GB (peak 16.14)  free disk 31 GB  swap used 1024.00M | 21014:1280K/1024K 21082:880K/688K 21084:3216M/3214M 23580:13G/8136M
[01:09:19] tree 16.14 GB (peak 16.14)  free disk 31 GB  swap used 1024.00M | 21014:1280K/1024K 21082:880K/688K 21084:3216M/3214M 23580:13G/9885M
[01:10:19] tree 17.14 GB (peak 17.14)  free disk 31 GB  swap used 1024.00M | 21014:1280K/1024K 21082:880K/688K 21084:3216M/3214M 23580:14G/10G
[01:11:20] tree 17.14 GB (peak 17.14)  free disk 30 GB  swap used 2048.00M | 21014:1280K/1024K 21082:880K/688K 21084:3216M/3214M 23580:14G/10G
[01:12:20] tree 18.14 GB (peak 18.14)  free disk 30 GB  swap used 2048.00M | 21014:1280K/1024K 21082:880K/688K 21084:3216M/3214M 23580:15G/10G
[01:13:20] tree 17.57 GB (peak 18.14)  free disk 30 GB  swap used 2048.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:15G/11G
[01:14:21] tree 17.57 GB (peak 18.14)  free disk 30 GB  swap used 2048.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:15G/12G
[01:15:21] tree 18.57 GB (peak 18.57)  free disk 30 GB  swap used 2048.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:16G/12G
[01:16:22] tree 18.57 GB (peak 18.57)  free disk 30 GB  swap used 2048.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:16G/12G
[01:17:22] tree 19.57 GB (peak 19.57)  free disk 29 GB  swap used 3072.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:17G/12G
[01:18:23] tree 19.57 GB (peak 19.57)  free disk 29 GB  swap used 3072.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:17G/13G
[01:19:23] tree 19.57 GB (peak 19.57)  free disk 29 GB  swap used 3072.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:17G/13G
[01:20:23] tree 19.57 GB (peak 19.57)  free disk 29 GB  swap used 3072.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:17G/13G
[01:21:24] tree 19.57 GB (peak 19.57)  free disk 29 GB  swap used 3072.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:17G/13G
[01:22:24] tree 20.57 GB (peak 20.57)  free disk 29 GB  swap used 3072.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:18G/14G
[01:23:25] tree 20.57 GB (peak 20.57)  free disk 28 GB  swap used 4096.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:18G/14G
[01:24:25] tree 20.57 GB (peak 20.57)  free disk 28 GB  swap used 4096.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:18G/14G
[01:25:26] tree 20.57 GB (peak 20.57)  free disk 28 GB  swap used 4096.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:18G/14G
[01:26:26] tree 20.57 GB (peak 20.57)  free disk 28 GB  swap used 4096.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:18G/14G
[01:27:26] tree 20.57 GB (peak 20.57)  free disk 28 GB  swap used 4096.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:18G/14G
[01:28:27] tree 21.57 GB (peak 21.57)  free disk 28 GB  swap used 4096.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:19G/15G
[01:29:27] tree 21.57 GB (peak 21.57)  free disk 28 GB  swap used 4096.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:19G/15G
[01:30:28] tree 21.57 GB (peak 21.57)  free disk 27 GB  swap used 5120.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:19G/15G
[01:31:28] tree 21.57 GB (peak 21.57)  free disk 27 GB  swap used 5120.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:19G/14G
[01:32:29] tree 22.57 GB (peak 22.57)  free disk 27 GB  swap used 5120.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:20G/16G
